title,artist,year,chart_position,weeks_on_chart,decade,top10
sweet love,commodores,1976,27,1,1970s,0.0
right back where we started from,maxine nightingale,1976,28,1,1970s,0.0
love rollercoaster,ohio players,1976,30,1,1970s,0.0
you should be dancing,bee gees,1976,31,1,1970s,0.0
youll never find another love like mine,lou rawls,1976,32,1,1970s,0.0
golden years,david bowie,1976,33,1,1970s,0.0
moonlight feels right,starbuck,1976,34,1,1970s,0.0
only sixteen,dr. hook,1976,35,1,1970s,0.0
let your love flow,the bellamy brothers,1976,36,1,1970s,0.0
turn the beat around,vicki sue robinson,1976,38,1,1970s,0.0
lonely night,captain & tennille,1976,39,1,1970s,0.0
all by myself,eric carmen,1976,40,1,1970s,0.0
love to love you baby,donna summer,1976,41,1,1970s,0.0
deep purple,donny & marie osmond,1976,42,1,1970s,0.0
sweet thing,rufus featuring chaka khan,1976,44,1,1970s,0.0
a little bit more,dr. hook,1976,46,1,1970s,0.0
shannon,henry gross,1976,47,1,1970s,0.0
if you leave me now,chicago,1976,48,1,1970s,0.0
lowdown,boz scaggs,1976,49,1,1970s,0.0
show me the way,peter frampton,1976,50,1,1970s,0.0
dream on,aerosmith,1976,51,1,1970s,0.0
i love music,the o'jays,1976,52,1,1970s,0.0
say you love me,fleetwood mac,1976,53,1,1970s,0.0
devil woman,cliff richard,1976,55,1,1970s,0.0
fooled around and fell in love,elvin bishop,1976,56,1,1970s,0.0
convoy,c.w. mccall,1976,57,1,1970s,0.0
welcome back,john sebastian,1976,58,1,1970s,0.0
